"","ss","cond_name","identity_name","two_or_one"
"1",1,"2_dead","1_original","one"
"2",2,"2_dead","1_original","one"
"3",3,"2_dead","4_both","two"
"4",4,"2_dead","4_both","two"
"5",5,"2_dead","4_both","two"
"6",6,"2_dead","1_original","one"
"7",7,"2_dead","2_copy","one"
"8",8,"2_dead","1_original","one"
"9",9,"2_dead","2_copy","one"
"10",10,"2_dead","4_both","two"
"11",11,"2_dead","1_original","one"
"12",12,"2_dead","1_original","one"
"13",13,"2_dead","4_both","two"
"14",14,"2_dead","4_both","two"
"15",15,"2_dead","4_both","two"
"16",16,"2_dead","2_copy","one"
"17",17,"2_dead","2_copy","one"
"18",18,"2_dead","1_original","one"
"19",19,"2_dead","1_original","one"
"20",20,"2_dead","4_both","two"
"21",21,"2_dead","3_neither","neither"
"22",22,"2_dead","1_original","one"
"23",23,"2_dead","1_original","one"
"24",24,"2_dead","4_both","two"
"25",25,"2_dead","1_original","one"
"26",26,"2_dead","1_original","one"
"27",27,"2_dead","2_copy","one"
"28",28,"2_dead","4_both","two"
"29",29,"2_dead","1_original","one"
"30",30,"2_dead","2_copy","one"
"31",31,"2_dead","1_original","one"
"32",32,"2_dead","1_original","one"
"33",33,"2_dead","4_both","two"
"34",34,"2_dead","2_copy","one"
"35",35,"2_dead","1_original","one"
"36",36,"2_dead","1_original","one"
"37",37,"2_dead","1_original","one"
"38",38,"2_dead","1_original","one"
"39",39,"2_dead","2_copy","one"
"40",40,"2_dead","3_neither","neither"
"41",41,"2_dead","1_original","one"
"42",42,"2_dead","1_original","one"
"43",43,"2_dead","1_original","one"
"44",44,"2_dead","1_original","one"
"45",45,"2_dead","4_both","two"
"46",46,"2_dead","1_original","one"
"47",47,"2_dead","4_both","two"
"48",48,"2_dead","1_original","one"
"49",49,"2_dead","1_original","one"
"50",50,"2_dead","1_original","one"
"51",51,"2_dead","1_original","one"
"52",52,"2_dead","1_original","one"
"53",53,"2_dead","1_original","one"
"54",54,"2_dead","1_original","one"
