"","identity_name","two_or_one","identity_b_original","identity_b_copy","identity_b_neither","identity_b_both","persp","persp_num"
"4","1_original","one",1,0,0,0,"third","1"
"7","1_original","one",1,0,0,0,"third","1"
"16","1_original","one",1,0,0,0,"third","1"
"20","1_original","one",1,0,0,0,"third","1"
"22","2_copy","one",0,1,0,0,"third","1"
"23","3_neither","neither",0,0,1,0,"third","1"
"24","1_original","one",1,0,0,0,"third","1"
"34","2_copy","one",0,1,0,0,"third","1"
"41","3_neither","neither",0,0,1,0,"third","1"
"44","1_original","one",1,0,0,0,"third","1"
"46","1_original","one",1,0,0,0,"third","1"
"48","1_original","one",1,0,0,0,"third","1"
"51","2_copy","one",0,1,0,0,"third","1"
"52","4_both","two",0,0,0,1,"third","1"
"54","3_neither","neither",0,0,1,0,"third","1"
"65","1_original","one",1,0,0,0,"third","1"
"80","1_original","one",1,0,0,0,"third","1"
"84","1_original","one",1,0,0,0,"third","1"
"88","1_original","one",1,0,0,0,"third","1"
"94","1_original","one",1,0,0,0,"third","1"
"99","1_original","one",1,0,0,0,"third","1"
"102","1_original","one",1,0,0,0,"third","1"
"111","1_original","one",1,0,0,0,"third","1"
"114","1_original","one",1,0,0,0,"third","1"
"116","2_copy","one",0,1,0,0,"third","1"
"117","1_original","one",1,0,0,0,"third","1"
"122","1_original","one",1,0,0,0,"third","1"
"127","3_neither","neither",0,0,1,0,"third","1"
"129","1_original","one",1,0,0,0,"third","1"
"130","1_original","one",1,0,0,0,"third","1"
"133","1_original","one",1,0,0,0,"third","1"
"137","1_original","one",1,0,0,0,"third","1"
"145","4_both","two",0,0,0,1,"third","1"
"148","1_original","one",1,0,0,0,"third","1"
"163","1_original","one",1,0,0,0,"third","1"
"178","4_both","two",0,0,0,1,"third","1"
"179","1_original","one",1,0,0,0,"third","1"
"185","1_original","one",1,0,0,0,"third","1"
"187","1_original","one",1,0,0,0,"third","1"
"188","2_copy","one",0,1,0,0,"third","1"
"189","3_neither","neither",0,0,1,0,"third","1"
"195","1_original","one",1,0,0,0,"third","1"
"199","1_original","one",1,0,0,0,"third","1"
"203","1_original","one",1,0,0,0,"third","1"
"205","1_original","one",1,0,0,0,"third","1"
"209","1_original","one",1,0,0,0,"third","1"
"211","1_original","one",1,0,0,0,"third","1"
"214","2_copy","one",0,1,0,0,"third","1"
"221","2_copy","one",0,1,0,0,"third","1"
"223","2_copy","one",0,1,0,0,"third","1"
"225","1_original","one",1,0,0,0,"third","1"
"228","2_copy","one",0,1,0,0,"third","1"
"237","1_original","one",1,0,0,0,"third","1"
"245","4_both","two",0,0,0,1,"third","1"
"248","1_original","one",1,0,0,0,"third","1"
"249","1_original","one",1,0,0,0,"third","1"
"250","1_original","one",1,0,0,0,"third","1"
"251","1_original","one",1,0,0,0,"third","1"
"259","4_both","two",0,0,0,1,"third","1"
"261","1_original","one",1,0,0,0,"third","1"
"264","1_original","one",1,0,0,0,"third","1"
"271","1_original","one",1,0,0,0,"third","1"
"272","1_original","one",1,0,0,0,"third","1"
"276","1_original","one",1,0,0,0,"third","1"
"277","1_original","one",1,0,0,0,"third","1"
"287","1_original","one",1,0,0,0,"third","1"
"288","1_original","one",1,0,0,0,"third","1"
"298","1_original","one",1,0,0,0,"third","1"
"303","4_both","two",0,0,0,1,"third","1"
"317","1_original","one",1,0,0,0,"third","1"
"319","1_original","one",1,0,0,0,"third","1"
"320","4_both","two",0,0,0,1,"third","1"
"331","4_both","two",0,0,0,1,"third","1"
"334","1_original","one",1,0,0,0,"third","1"
"340","4_both","two",0,0,0,1,"third","1"
"351","1_original","one",1,0,0,0,"third","1"
"352","1_original","one",1,0,0,0,"third","1"
"356","1_original","one",1,0,0,0,"third","1"
"358","1_original","one",1,0,0,0,"third","1"
"360","1_original","one",1,0,0,0,"third","1"
"364","1_original","one",1,0,0,0,"third","1"
"366","1_original","one",1,0,0,0,"third","1"
"374","1_original","one",1,0,0,0,"third","1"
"375","4_both","two",0,0,0,1,"third","1"
"383","2_copy","one",0,1,0,0,"third","1"
"385","1_original","one",1,0,0,0,"third","1"
"389","4_both","two",0,0,0,1,"third","1"
"398","1_original","one",1,0,0,0,"third","1"
"1","2_copy","one",0,1,0,0,"full","4"
"2","1_original","one",1,0,0,0,"empathy","2"
"3","1_original","one",1,0,0,0,"empathy","2"
"42","2_copy","one",0,1,0,0,"self","3"
"5","1_original","one",1,0,0,0,"full","4"
"6","1_original","one",1,0,0,0,"self","3"
"710","2_copy","one",0,1,0,0,"empathy","2"
"8","1_original","one",1,0,0,0,"self","3"
"9","4_both","two",0,0,0,1,"self","3"
"10","1_original","one",1,0,0,0,"self","3"
"11","4_both","two",0,0,0,1,"self","3"
"12","1_original","one",1,0,0,0,"empathy","2"
"13","2_copy","one",0,1,0,0,"self","3"
"165","2_copy","one",0,1,0,0,"self","3"
"17","1_original","one",1,0,0,0,"empathy","2"
"18","2_copy","one",0,1,0,0,"full","4"
"21","2_copy","one",0,1,0,0,"empathy","2"
"222","1_original","one",1,0,0,0,"self","3"
"2310","4_both","two",0,0,0,1,"self","3"
"241","1_original","one",1,0,0,0,"empathy","2"
"25","1_original","one",1,0,0,0,"empathy","2"
"26","1_original","one",1,0,0,0,"self","3"
"27","1_original","one",1,0,0,0,"empathy","2"
"28","4_both","two",0,0,0,1,"self","3"
"29","2_copy","one",0,1,0,0,"full","4"
"30","3_neither","neither",0,0,1,0,"empathy","2"
"31","2_copy","one",0,1,0,0,"empathy","2"
"32","1_original","one",1,0,0,0,"empathy","2"
"33","1_original","one",1,0,0,0,"full","4"
"341","1_original","one",1,0,0,0,"empathy","2"
"35","3_neither","neither",0,0,1,0,"full","4"
"36","1_original","one",1,0,0,0,"full","4"
"37","1_original","one",1,0,0,0,"self","3"
"38","2_copy","one",0,1,0,0,"self","3"
"39","1_original","one",1,0,0,0,"full","4"
"411","2_copy","one",0,1,0,0,"full","4"
"45","4_both","two",0,0,0,1,"self","3"
"461","4_both","two",0,0,0,1,"full","4"
"481","2_copy","one",0,1,0,0,"full","4"
"50","4_both","two",0,0,0,1,"self","3"
"511","1_original","one",1,0,0,0,"self","3"
"53","2_copy","one",0,1,0,0,"full","4"
"541","1_original","one",1,0,0,0,"self","3"
"55","1_original","one",1,0,0,0,"empathy","2"
"56","4_both","two",0,0,0,1,"self","3"
"57","4_both","two",0,0,0,1,"self","3"
"58","1_original","one",1,0,0,0,"self","3"
"59","1_original","one",1,0,0,0,"empathy","2"
"60","4_both","two",0,0,0,1,"full","4"
"61","1_original","one",1,0,0,0,"self","3"
"62","1_original","one",1,0,0,0,"self","3"
"63","1_original","one",1,0,0,0,"full","4"
"64","2_copy","one",0,1,0,0,"self","3"
"651","2_copy","one",0,1,0,0,"full","4"
"66","1_original","one",1,0,0,0,"empathy","2"
"67","1_original","one",1,0,0,0,"self","3"
"68","1_original","one",1,0,0,0,"self","3"
"69","3_neither","neither",0,0,1,0,"empathy","2"
"70","1_original","one",1,0,0,0,"full","4"
"71","2_copy","one",0,1,0,0,"self","3"
"72","1_original","one",1,0,0,0,"empathy","2"
"73","1_original","one",1,0,0,0,"full","4"
"74","4_both","two",0,0,0,1,"self","3"
"75","1_original","one",1,0,0,0,"empathy","2"
"76","2_copy","one",0,1,0,0,"self","3"
"77","3_neither","neither",0,0,1,0,"empathy","2"
"78","2_copy","one",0,1,0,0,"full","4"
"79","1_original","one",1,0,0,0,"empathy","2"
"801","4_both","two",0,0,0,1,"full","4"
"81","1_original","one",1,0,0,0,"empathy","2"
"82","1_original","one",1,0,0,0,"self","3"
"83","1_original","one",1,0,0,0,"empathy","2"
"841","4_both","two",0,0,0,1,"full","4"
"86","1_original","one",1,0,0,0,"empathy","2"
"87","1_original","one",1,0,0,0,"empathy","2"
"881","1_original","one",1,0,0,0,"empathy","2"
"89","2_copy","one",0,1,0,0,"empathy","2"
"90","4_both","two",0,0,0,1,"empathy","2"
"91","4_both","two",0,0,0,1,"empathy","2"
"93","2_copy","one",0,1,0,0,"self","3"
"941","2_copy","one",0,1,0,0,"self","3"
"95","2_copy","one",0,1,0,0,"full","4"
"96","4_both","two",0,0,0,1,"self","3"
"97","4_both","two",0,0,0,1,"full","4"
"98","4_both","two",0,0,0,1,"self","3"
"991","4_both","two",0,0,0,1,"self","3"
"100","4_both","two",0,0,0,1,"self","3"
"101","1_original","one",1,0,0,0,"self","3"
"1021","1_original","one",1,0,0,0,"empathy","2"
"104","1_original","one",1,0,0,0,"empathy","2"
"105","1_original","one",1,0,0,0,"empathy","2"
"106","4_both","two",0,0,0,1,"full","4"
"107","4_both","two",0,0,0,1,"self","3"
"108","1_original","one",1,0,0,0,"full","4"
"109","1_original","one",1,0,0,0,"full","4"
"110","2_copy","one",0,1,0,0,"self","3"
"1111","4_both","two",0,0,0,1,"full","4"
"112","1_original","one",1,0,0,0,"full","4"
"1141","2_copy","one",0,1,0,0,"full","4"
"115","1_original","one",1,0,0,0,"self","3"
"1161","4_both","two",0,0,0,1,"empathy","2"
"1171","1_original","one",1,0,0,0,"self","3"
"118","4_both","two",0,0,0,1,"self","3"
"119","2_copy","one",0,1,0,0,"self","3"
"120","1_original","one",1,0,0,0,"self","3"
"121","1_original","one",1,0,0,0,"self","3"
"1221","2_copy","one",0,1,0,0,"full","4"
"123","1_original","one",1,0,0,0,"self","3"
"124","1_original","one",1,0,0,0,"self","3"
"125","2_copy","one",0,1,0,0,"empathy","2"
"126","4_both","two",0,0,0,1,"full","4"
"1271","1_original","one",1,0,0,0,"self","3"
"128","4_both","two",0,0,0,1,"full","4"
"1291","1_original","one",1,0,0,0,"self","3"
"1301","2_copy","one",0,1,0,0,"empathy","2"
"132","1_original","one",1,0,0,0,"empathy","2"
"1331","1_original","one",1,0,0,0,"self","3"
"134","4_both","two",0,0,0,1,"full","4"
"135","2_copy","one",0,1,0,0,"full","4"
"136","1_original","one",1,0,0,0,"full","4"
"1371","2_copy","one",0,1,0,0,"empathy","2"
"138","1_original","one",1,0,0,0,"self","3"
"139","4_both","two",0,0,0,1,"self","3"
"140","1_original","one",1,0,0,0,"empathy","2"
"143","1_original","one",1,0,0,0,"full","4"
"144","4_both","two",0,0,0,1,"full","4"
"1451","1_original","one",1,0,0,0,"full","4"
"146","1_original","one",1,0,0,0,"empathy","2"
"147","2_copy","one",0,1,0,0,"self","3"
"1481","2_copy","one",0,1,0,0,"full","4"
"149","1_original","one",1,0,0,0,"self","3"
"151","2_copy","one",0,1,0,0,"self","3"
"152","1_original","one",1,0,0,0,"self","3"
"153","2_copy","one",0,1,0,0,"full","4"
"154","1_original","one",1,0,0,0,"empathy","2"
"155","2_copy","one",0,1,0,0,"empathy","2"
"156","1_original","one",1,0,0,0,"empathy","2"
"158","4_both","two",0,0,0,1,"self","3"
"159","2_copy","one",0,1,0,0,"empathy","2"
"160","1_original","one",1,0,0,0,"self","3"
"161","2_copy","one",0,1,0,0,"empathy","2"
"162","4_both","two",0,0,0,1,"self","3"
"1631","4_both","two",0,0,0,1,"full","4"
"164","2_copy","one",0,1,0,0,"empathy","2"
"166","1_original","one",1,0,0,0,"empathy","2"
"167","2_copy","one",0,1,0,0,"full","4"
"168","4_both","two",0,0,0,1,"self","3"
"169","1_original","one",1,0,0,0,"empathy","2"
"170","2_copy","one",0,1,0,0,"self","3"
"171","1_original","one",1,0,0,0,"empathy","2"
"172","1_original","one",1,0,0,0,"empathy","2"
"173","1_original","one",1,0,0,0,"empathy","2"
"174","4_both","two",0,0,0,1,"self","3"
"176","2_copy","one",0,1,0,0,"full","4"
"177","2_copy","one",0,1,0,0,"self","3"
"1781","4_both","two",0,0,0,1,"full","4"
"1791","1_original","one",1,0,0,0,"full","4"
